Id,Location,Name,Category,Description,Latitude,Longitude,Altitude,Date verified,Open,Electricity,Wifi,Kitchen,Parking,Restaurant,Showers,Water,Toilets,Big rig friendly,Tent friendly,Pet friendly,Sanitation dump station,Outdoor gear,Groceries,Artisan goods,Bakery,Rarity in this area,Repairs vehicles,Repairs motorcycles,Repairs bicycles,Sells parts,Recycles batteries,Recycles oil,Bio fuel,Electric vehicle charging,Composting sawdust,Recycling center
7822,"Unnamed Road, 7570 Melides, Portugal",Melides Beach,Wild Camping,"Beautiful place a few steps from the ocean. Popular with campervan folks. Access by a sandy road, two wheel drive without issues. Better suited for smaller vehicles. No facilities, but there is a restaurant nearby and an official campsite not far from here. ",38.126811,-8.791854,74.0,2024-03-11 00:00:00 UTC,Yes,No,No,No,,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,
7919,"Unnamed Road, 2970, Portugal",Farol do Cabo Espichel,Wild Camping,"Plenty of space around the lighthouse or by the nearby monastery. Windy, but amazing sunset and quiet at night. There is a snack bar by the monastery, no facilities by the lighthouse. Free.",38.414687,-9.216075,204.0,2017-09-27 12:26:23 UTC,Yes,No,No,No,,No,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,
15842,"EM124-3, 8300 Silves, Portugal",Barragem Do Arade,Wild Camping,Free camping at two area close to reservoir one area below dam on flat ground and one at top of dam with some views of lake. No facilities but peaceful rural area with great walks. ,37.237682,-8.377259,0.0,2016-04-22 19:39:00 UTC,Yes,No,Yes - Fast,No,,No,No,No,No,Yes,No,Yes,,,,,,,,,,,,,,,,
15844,"Unnamed Road, 7580, Portugal",Barragem Pego Do Altar,Informal Campsite,"Free parking next to lake, three area one at top of hill near restaurant/toilets, larger area at bottom of hill overlooking lake and additional area at end of dam all flat.  If you have a smaller vehicle or 4wd you can also drive down a dirt trackand park right next to the water.  There are free hot showers, toilets, cassette emptying point, water, bar/restaurant with very reasonable prices and wifi.  Beautiful spot, great walks and peaceful.  ",38.418960,-8.391530,0.0,2023-10-02 00:00:00 UTC,Yes,No,Yes - Fast,No,,Yes,Hot,Potable,Running Water,Yes,No,Yes,,,,,,,,,,,,,,,,
15962,"Av. Fernão de Megalhães 81, 8600 Lagos, Portugal",Parking Praia Do Mos,Wild Camping,"Parking and overnight possible in front of the sea. 2 restaurants nearby. Quiet, and the ocean can be wavy.",37.086673,-8.688528,14.2322998046875,2019-05-24 22:15:57 UTC,Yes,No,No,No,,Yes,No,No,No,Unknown,No,Yes,,,,,,,,,,,,,,,,
16037,"Unnamed Road, 7600 Ervidel, Portugal",Barragem De Roxo Parking,Informal Campsite,Small parking area next to lake and just before dam.  Hard standing but possibilities to park on dirt tracks nearer the water.  Free to stay and dustbins and running water which states not drinkable quiet spot little traffic passes by.  ,37.935780,-8.081060,0.0,2016-04-16 23:00:00 UTC,Yes,No,Yes - Average,No,,No,No,Non-Potable,No,Yes,No,Yes,,,,,,,,,,,,,,,,
16038,"Unnamed Road, Portugal",Barragem Da Vigia,Wild Camping,"Free parking area at end of dam, beautiful views over lake.  No official parking signs but no restriction signs either.  For 4wd or smaller vans you can drive down track and park level with lake. No facilities but bins at other end of dam.   ",38.539880,-7.608862,231.9969482421875,2023-12-02 00:00:00 UTC,Yes,No,No,No,,No,No,Natural Source,No,No,No,Yes,,,,,,,,,,,,,,,,
16125,"Unnamed Road, 7040 Igrejinha, Portugal",Barragem Do Divor,Wild Camping,lots of wild camping spots before and after dam under trees overlooking lake lovely setting great walks. Bin on site and free service point at Evora Intermarche if required.   ,38.699842,-7.929424,253.17930603027344,2016-05-01 15:08:03 UTC,Yes,No,Yes - Average,No,,No,No,Natural Source,No,Yes,No,Yes,,,,,,,,,,,,,,,,
16937,"Av. Mário Firmino Miguel, 2710 Sintra, Portugal",Parking Close To The Train Station,Informal Campsite,"Pay parking, 1,5€ per 24h, close to the train station. Safe place, some noise from the train, but didn't disturb our sleep. Walking distance to the city center, and maybe 15 minutes walking to the historical center. A cafeteria is available at the train station.",38.802700,-9.373870,35.6,2023-02-13 21:34:19 UTC,Yes,No,No,No,,No,No,No,No,Yes,No,Unknown,,,,,,,,,,,,,,,,
16938,"Caminho da Arda, 4900, Portugal",Praia Arda Afife,Wild Camping,"Small beach parking. During the season, water, toilets and showers are available. Surfing is possible there. 
One of the best beach in north Portugal",41.769800,-8.871330,11.046180725097656,2018-09-30 09:40:41 UTC,Yes,No,No,No,,Yes,Cold,Non-Potable,Running Water,No,No,Yes,,,,,,,,,,,,,,,,
16939,"R. Mte. Cardoso 12-14, 3090, Portugal",Costa De Lavos Service area ,Established Campground,"Service area with toilets, showers, (only during the season) water and place to dispose the gray water. Right on the beach. Nice village to see, Casa dos Pescadores to be visited.",40.087700,-8.872940,17.5283203125,2022-07-17 00:00:00 UTC,Yes,No,No,No,,No,Cold,Non-Potable,Running Water,Yes,No,Yes,Yes,,,,,,,,,,,,,,,
17481,"Azinhaga do Casal das Oliveiras, 1500 Lisboa, Portugal",Camping Lisboa,Established Campground,"huge huge place in the hills outside the city. lots of trees and grass. lower flat section for rigs w/hookups, steeper hillside in the forest for tents or vans. room for 1800 so mileage may vary noise-wise. facilities cleanish and showers hot. bar cafe minimarket wifi",38.724230,-9.204156,150.0,2024-01-01 11:38:10 UTC,Yes,Yes - At Sites,Yes - Slow,No,,Yes,Hot,Potable,Running Water,Yes,Yes,Yes,Unknown,,,,,,,,,,,,,,,
17498,"EM1007, 7320, Portugal",Barragem De Povoa,Informal Campsite,"A free aire with official parking at the entrance next to service point and wc/showers.  Lots of other spots right by the lake.  Bar/restaurant a few minutes walk.  BBQ areas, picnic tables. Beautiful lake with fishing./swimming.    Good dog walking/hiking.  Nisa town with all supermarkets about 10km.  Can stay as longs you like.   Can get busy at weekends/bank holidays. But sill a nice spot",39.482016,-7.547749,317.27520751953125,2020-05-20 14:04:13 UTC,Yes,No,No,No,,Yes,No,Potable,Running Water,Yes,No,Yes,,,,,,,,,,,,,,,,
17822,"R. do Pinhal 2, 8200-593 Albufeira, Portugal",Algarve Motorhome Park,Established Campground,"Nice ""camping"" for motor homes and camper vans. There are warm showers for .50 euros for 5 minutes but no bathrooms. Must be self contained. Well laid out flat gravel parkings and some spots with shade. Electricity, water and dump station; washing machines 4.50 euros per load.  5 minutes from a very nice beach. 9 euro with electricity for 2 people and camper; price goes down if stay more nights. ",37.089933,-8.160474,19.40015005824563,2016-06-13 08:55:48 UTC,Yes,Yes - At Sites,Yes - Average,No,,No,Hot,Potable,No,Yes,No,Yes,Unknown,,,,,,,,,,,,,,,
18678,"Av. dos Pescadores, 4920 Vila Nova de Cerveira, Portugal",Vila Nova Da Cerveira,Established Campground,"A nice service area closed to Rio Minho, very close to the city and nice tapas and restaurants. Water and black water discharge available. Toilets might be available during the season.",41.937800,-8.747110,-1.0,2016-05-20 23:00:00 UTC,Yes,No,No,No,,No,No,Potable,Running Water,Yes,No,Yes,Unknown,,,,,,,,,,,,,,,
19149,"Unnamed Road, 8200 Olhos de Água, Portugal",Beach Lot At Praia Da Rocha,Informal Campsite,"Big dirt parking lot by the a long sandy beach, some short trees that you could put a hammock.",37.076838,-8.133746,6.311279296875,2021-06-03 00:00:00 UTC,Yes,No,No,No,,Yes,No,No,No,Unknown,Unknown,Yes,,,,,,,,,,,,,,,,
28871,"Unnamed Road, 6040 Gavião, Portugal",Near Belver,Wild Camping,"Hilltop wild camping site overlooking river with castle directly opposite. Just  off the road leading down to the Alamal River Club on the south side of the river Tejo, opposite castle Belver, there is a rough track leading up to an old abandoned building with a flat grassy/gravelly camping area. No facilities but lovely views with plenty of peace and quiet.",39.486807,-7.963006,156.0042724609375,2019-06-28 00:00:00 UTC,Yes,No,No,No,,No,No,No,No,Unknown,Yes,Yes,,,,,,,,,,,,,,,,
30911,"Unnamed Road, 8500, Portugal",Rocha Delicada Parking,Informal Campsite,A big round parking place at the end of a gravel road. Peaceful in natural surrounding and a little beach right next to it. Only a few locals were here. ,37.132222,-8.611928,68.0,2017-03-09 00:00:00 UTC,Yes,No,No,No,,No,No,Natural Source,No,Yes,Unknown,Yes,,,,,,,,,,,,,,,,
31144,"EM1265 5A, 8650-421 Vila do Bpo., Portugal",Camping Ingrina ,Established Campground,Rural camping for €6.50 per person. A little rough and ready but friendly people and lovely walks to Ingrina and Barranco beaches. If you're looking for a modern campsites with lots of facilities and activities then this is not for you. ,37.050377,-8.884780,104.0,2019-05-26 20:26:14 UTC,Yes,Yes - At Sites,No,No,,No,Hot,Non-Potable,Running Water,Yes,Yes,Yes,Unknown,,,,,,,,,,,,,,,
31313,"Av. São João Bosco 80, 4900 Provença, Portugal",Bike Mechanic,Mechanic and Parts,Good mechanic near Vianna. Sorted my clutch quickly to keep me moving,41.702950,-8.847370,0.0,2017-03-16 00:00:00 UTC,Yes,,,,,,,,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,,,,,,
31409,"Av. 25 de Abril, 2970, Portugal",Dinosaur footprints ,Wild Camping,A nice place in natural surroundings at the dinosaur tracks. You can follow the signs from the main road leading to a gravel road. It is very washed out and there were some tough sections for our 2wd van but the place is worth it. Very few people came to visit it so we could enjoy the silence. 180° sea view and the marked place is almost level. ,38.425726,-9.214334,150.0,2019-12-26 00:00:00 UTC,Yes,No,No,No,,No,No,No,No,Yes,No,Yes,,,,,,,,,,,,,,,,
32054,"R. Fonte do Mouro, 3050, Portugal",Fonte do Mouro,Water,Controlled spring water,40.356779,-8.400630,160.0,2021-08-13 00:00:00 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
32510,"R. Cabeço, 3450, Portugal",Via Mohinos,Informal Campsite,"à car Park near
 road 228 on the village fest field free and quiet",40.440485,-8.224241,208.0,2017-03-16 00:00:00 UTC,Yes,No,No,No,,No,No,Potable,No,No,No,Unknown,,,,,,,,,,,,,,,,
32511,"R. Tabolado 73, 5400-524 Chaves, Portugal",Chaves near Terms,Informal Campsite,"Chaves on the River side 100 m ""roman bridge"" 2 mn Old ton Little noisy free public toilets 50 m",41.737723,-7.469425,0.0,2022-12-08 21:43:27 UTC,Yes,No,No,No,,Yes,No,No,Running Water,Yes,No,Unknown,,,,,,,,,,,,,,,,
32512,"R. Cabeço, 3450, Portugal", Braga camping municipal,Established Campground,"  Small clean campsite 14.80 € for 2 pers cc electric and wi fi 

Petit camping propre 14.80€ pour 2 pers + cc electricite et wi fi",40.440500,-8.224280,207.0,2017-03-16 00:00:00 UTC,Yes,Yes - At Sites,Yes - Fast,No,,No,Warm,Potable,Running Water,Yes,Yes,Unknown,Unknown,,,,,,,,,,,,,,,
32514,"Unnamed Road, 7000, Portugal",Valverde Zambujeiro dolmen,Wild Camping,just before thé bridge if the site entrance quiet in the nature,38.537339,-8.013066,272.0,2017-04-04 13:30:15 UTC,Yes,No,No,Unknown,,Unknown,No,Natural Source,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,
32515,"R. das Alcaçarias 1, 7040-027 Arraiolos, Portugal",Araiolos castel,Wild Camping,"  A platform on the northwest side of the castle 

une plateforme côté nord ouest du château",38.726820,-7.985910,385.0,2017-04-04 13:30:15 UTC,Yes,No,No,No,,No,No,Unknown,No,No,No,Unknown,,,,,,,,,,,,,,,,
32516,"N246, 7320, Portugal",Quinta do Pomarinho,Established Campground,"On the road 246 Castel da Vide in Portealegre. Small campsite managed by a Dutch person. Toilet, hot water, calm, electricity. Outdoor BBQ 
.....
Sur la route 246 Castel da Vide à Portealegre petit camping gère par un hollandais WC eau chaude électricité
 calme. cuisine extérieure BBQ",39.400700,-7.486600,0.0,2023-10-14 00:00:00 UTC,Yes,Yes - At Sites,Yes - Average,Yes,,Unknown,Hot,Potable,Running Water,No,Yes,Yes,Unknown,,,,,,,,,,,,,,,
32518,"Estr. da Calçadinha 4, 7330 São Salvador da Aramenha, Portugal",Ammaia Cidade Romana Olhos d'Agua,Wild Camping,"Front Old roman City of Ammaia near olhos de Agua ,WE ask cashier is't OK we Can see Marvao Castel
sur le parking devant la cité romaine d'Ammaia on a demandé la permission au caissier on peut voir Le Château Fort de Marvao

",39.369990,-7.385500,576.0,2017-03-28 00:00:00 UTC,Yes,Unknown,No,No,,No,Bucket,Unknown,Unknown,Yes,No,Unknown,,,,,,,,,,,,,,,,
32519,"Av. Francisco Fino Industrial 4, 7300-126 Portalegre, Portugal",Portalegre industial zone,Informal Campsite,à Big car Park whithout any car à small snack  near,39.267899,-7.429255,423.0,2020-08-17 18:49:36 UTC,Yes,No,No,No,,Yes,No,No,Unknown,Yes,No,Unknown,,,,,,,,,,,,,,,,
32521,"Unnamed Road, 7250, Portugal",Montejuntos. Praia Libertade,Informal Campsite,"aire de Pique-nique au bord du lac à la frontière espagnole
picknick area near spanish border",38.548028,-7.303672,203.0,2017-03-31 00:00:00 UTC,Yes,No,No,No,,No,No,Non-Potable,No,Yes,Unknown,No,,,,,,,,,,,,,,,,
32522,"CM1127, 7200, Portugal",Monsaraz Chapel Santa Clarita,Wild Camping,"  In the grass in front of the small chapel at the bottom of the city 


dans l'herbe devant pas la petite chapelle en bas de la cité",38.444440,-7.371660,269.0,2017-04-04 13:30:16 UTC,Yes,No,No,No,,No,No,No,No,Yes,Unknown,Unknown,,,,,,,,,,,,,,,,
32523,"Unnamed Road, 7240 Mourão, Portugal",Mourao lake,Wild Camping,"on lake side à Little jetty only wonderful landscape
au bord du lac un petit ponton et un fantastique paysage",38.370989,-7.355803,206.0,2017-04-02 00:00:00 UTC,Yes,No,No,No,,No,No,Non-Potable,No,Unknown,Yes,Unknown,,,,,,,,,,,,,,,,
32524,"Unnamed Road, 7885, Portugal",Aldei de Estrela,Wild Camping,"Always same lake near Little village with 2 restaurant s There is other place for Big rig drinking water avable near public restroom on villqge
au bout du village d'Estrela au bord du lac dans le village 2 restaurants de l'eau potable disponible dans le village près des. WC publics",38.269897,-7.397319,203.0,2019-04-11 22:00:54 UTC,Yes,No,No,No,,Yes,Bucket,No,No,Yes,Unknown,Unknown,,,,,,,,,,,,,,,,
32720,"R. António Sardinha 4, 7800-396 Beja, Portugal",Lab Thecno 4U Informatique,Shopping,"  Fernando Silva computer engineer repaired. 1 hour working on a computer 10 € rua de Libertade 39 - Béja 

Fernando Silva ingénieur informaticien réparé. de suite 1 h de travail sur un ordinateur 10 €
rua de Libertade 39 - Béja
",38.014560,-7.866990,328.0,2017-04-05 00:00:00 UTC,Yes,,,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,
